n,ms,ln
3,0.029233284294605255,0.01750001683831215
6,0.029299951468904812,0.017166603356599808
9,0.05553329053024451,0.024399952962994576
10,0.06576666298011939,0.040166700879732765
15,0.16940004813174406,0.09079999290406704
20,0.23916666395962238,0.06826672082146008
25,0.28170001072188217,0.12483339135845502
30,0.31319997894267243,0.06769993342459202
40,0.7198333429793516,0.3500000263253848
50,1.1289333148549001,0.5469333070019881
60,1.798866627116998,0.7400332639614741
70,4.312133261313041,1.9447333955516417
80,3.8485000065217414,0.6604333563397328
90,4.565133325134714,2.414866661032041
100,4.992099944502115,2.2893332255383334
150,14.539366665606698,8.419333336253962
200,7.611500021691124,1.777366657430927
250,28.999266602719825,8.157800029342374
300,49.46529997202257,26.260299996162455
400,85.2975999781241,35.727700063337885
500,106.31316659661631,17.415066715329885
