n;s30;s50;s70
10;0.2609999986210217;0.301499996567145;0.6136999969991545
12;0.4437333360935251;0.8184000034816563;1.747733340986694
14;1.684666679163153;2.508366664793963;3.1344333450154713
16;1.6444666543975472;3.0770333347997316;3.531700000166893
18;2.9029000046042106;5.874766667451088;6.862466679497932
20;4.474266674757625;7.808433341172834;10.42359999458616
22;7.14319998708864;12.641666660783812;18.999533320311457
24;12.465200008591637;20.31923332833685;25.056666665477678
26;16.717400004078325;27.83639999688603;33.41670000615219
28;23.21163334030037;37.06146668021878;46.886366665906586
30;31.46026666703013;51.422366668703035;63.1669666521096
