b;dynamic [ms];brute [ms]
10;8.318000473082066e-05;1.3580574400024488
11;0.00010699999984353781;1.419422340003075
12;0.000123559997882694;1.5191257999977097
13;0.0001123800000641495;1.49542449999135
14;0.00011338000185787678;1.4437669199949597
15;0.00014179999707266688;1.4953645800007507
16;0.00014334000297822058;1.5582106799993198
17;0.0001595399924553931;1.4983836000028532
18;0.00015689999563619494;1.632594180002343
19;0.00015724000986665486;1.7705542399955447
20;0.00020828000851906835;1.7797367799968924
21;0.0002203800017014146;1.923297640000237
22;0.00024035999085754157;1.894405900000129
23;0.0002558400097768754;1.835709800000768
24;0.0002318600018043071;1.951450260001002
25;0.0002711799985263497;1.7962182599992957
