n;dynamic [ms];brute [ms]
10;0.00018858000985346734;0.0029133200005162507
11;0.000207880005473271;0.0052586200006771834
12;0.00020068000303581358;0.011376380000729113
13;0.00020029999432154;0.02073711999692023
14;0.00022164001129567623;0.04917943999171257
15;0.00020959999528713524;0.08027517999871633
16;0.00023591999779455365;0.132617679995019
17;0.00020902000251226126;0.2655554400058463
18;0.00021773999906145037;0.48679658000473863
19;0.00021874000667594374;1.0726661399996373
20;0.00024074000539258121;1.965787059988361
21;0.0002581800043117255;3.710102759988513
22;0.00023815999156795442;7.915976900001988
23;0.0002542199974413961;15.148873899999307
24;0.0002658400044310838;28.493786519998686
25;0.0002559799992013723;58.44417499999982
